capture_id,image_path,captured_at,source_topic,ros_stamp,interval_sec,crop_x,crop_y,crop_w,crop_h,width,height,label_status,label_x,label_y,notes
23,images/front_20260621T051049615_000023.jpg,2026-06-21T05:10:49.615,/usb_cam/image_raw/front,1781986249.641702800,1.0,,,,,640,480,unlabeled,,,
24,images/front_20260621T051052664_000024.jpg,2026-06-21T05:10:52.664,/usb_cam/image_raw/front,1781986252.678472200,1.0,,,,,640,480,unlabeled,,,
25,images/front_20260621T051053922_000025.jpg,2026-06-21T05:10:53.922,/usb_cam/image_raw/front,1781986253.889824000,1.0,,,,,640,480,unlabeled,,,
26,images/front_20260621T051054884_000026.jpg,2026-06-21T05:10:54.884,/usb_cam/image_raw/front,1781986254.898686500,1.0,,,,,640,480,unlabeled,,,
27,images/front_20260621T051057330_000027.jpg,2026-06-21T05:10:57.330,/usb_cam/image_raw/front,1781986257.326425200,1.0,,,,,640,480,unlabeled,,,
28,images/front_20260621T051100183_000028.jpg,2026-06-21T05:11:00.183,/usb_cam/image_raw/front,1781986260.153866900,1.0,,,,,640,480,unlabeled,,,
29,images/front_20260621T051109964_000029.jpg,2026-06-21T05:11:09.964,/usb_cam/image_raw/front,1781986269.876532900,1.0,,,,,640,480,unlabeled,,,
30,images/front_20260621T051111921_000030.jpg,2026-06-21T05:11:11.921,/usb_cam/image_raw/front,1781986271.806991400,1.0,,,,,640,480,unlabeled,,,
31,images/front_20260621T051112911_000031.jpg,2026-06-21T05:11:12.911,/usb_cam/image_raw/front,1781986272.816378600,1.0,,,,,640,480,unlabeled,,,
32,images/front_20260621T051113514_000032.jpg,2026-06-21T05:11:13.514,/usb_cam/image_raw/front,1781986273.421723900,1.0,,,,,640,480,unlabeled,,,
33,images/front_20260621T051114538_000033.jpg,2026-06-21T05:11:14.538,/usb_cam/image_raw/front,1781986274.431624700,1.0,,,,,640,480,unlabeled,,,
34,images/front_20260621T051115443_000034.jpg,2026-06-21T05:11:15.443,/usb_cam/image_raw/front,1781986275.342885700,1.0,,,,,640,480,unlabeled,,,
35,images/front_20260621T051116863_000035.jpg,2026-06-21T05:11:16.863,/usb_cam/image_raw/front,1781986276.764203100,1.0,,,,,640,480,unlabeled,,,
36,images/front_20260621T051119254_000036.jpg,2026-06-21T05:11:19.254,/usb_cam/image_raw/front,1781986279.095037800,1.0,,,,,640,480,unlabeled,,,
37,images/front_20260621T051123637_000037.jpg,2026-06-21T05:11:23.637,/usb_cam/image_raw/front,1781986283.542251900,1.0,,,,,640,480,unlabeled,,,
38,images/front_20260621T051124638_000038.jpg,2026-06-21T05:11:24.638,/usb_cam/image_raw/front,1781986284.552186000,1.0,,,,,640,480,unlabeled,,,
39,images/front_20260621T051127363_000039.jpg,2026-06-21T05:11:27.363,/usb_cam/image_raw/front,1781986287.271777700,1.0,,,,,640,480,unlabeled,,,
40,images/front_20260621T051130802_000040.jpg,2026-06-21T05:11:30.802,/usb_cam/image_raw/front,1781986290.811757500,1.0,,,,,640,480,unlabeled,,,
41,images/front_20260621T051133106_000041.jpg,2026-06-21T05:11:33.106,/usb_cam/image_raw/front,1781986293.132007800,1.0,,,,,640,480,unlabeled,,,
42,images/front_20260621T051137046_000042.jpg,2026-06-21T05:11:37.046,/usb_cam/image_raw/front,1781986297.078907800,1.0,,,,,640,480,unlabeled,,,
43,images/front_20260621T051143184_000043.jpg,2026-06-21T05:11:43.184,/usb_cam/image_raw/front,1781986303.236249500,1.0,,,,,640,480,unlabeled,,,
44,images/front_20260621T051148151_000044.jpg,2026-06-21T05:11:48.151,/usb_cam/image_raw/front,1781986308.086554400,1.0,,,,,640,480,unlabeled,,,
45,images/front_20260621T051159601_000045.jpg,2026-06-21T05:11:59.601,/usb_cam/image_raw/front,1781986319.511049900,1.0,,,,,640,480,unlabeled,,,
46,images/front_20260621T051201525_000046.jpg,2026-06-21T05:12:01.525,/usb_cam/image_raw/front,1781986321.431207700,1.0,,,,,640,480,unlabeled,,,
47,images/front_20260621T051201624_000047.jpg,2026-06-21T05:12:01.624,/usb_cam/image_raw/front,1781986321.531658200,1.0,,,,,640,480,unlabeled,,,
48,images/front_20260621T051202633_000048.jpg,2026-06-21T05:12:02.633,/usb_cam/image_raw/front,1781986322.544371500,1.0,,,,,640,480,unlabeled,,,
49,images/front_20260621T051206368_000049.jpg,2026-06-21T05:12:06.368,/usb_cam/image_raw/front,1781986326.282303300,1.0,,,,,640,480,unlabeled,,,
50,images/front_20260621T051215273_000050.jpg,2026-06-21T05:12:15.273,/usb_cam/image_raw/front,1781986335.194177500,1.0,,,,,640,480,unlabeled,,,
51,images/front_20260621T051217633_000051.jpg,2026-06-21T05:12:17.633,/usb_cam/image_raw/front,1781986337.615855800,1.0,,,,,640,480,unlabeled,,,
52,images/front_20260621T051221129_000052.jpg,2026-06-21T05:12:21.129,/usb_cam/image_raw/front,1781986341.153531600,1.0,,,,,640,480,unlabeled,,,
53,images/front_20260621T051222138_000053.jpg,2026-06-21T05:12:22.138,/usb_cam/image_raw/front,1781986342.166316500,1.0,,,,,640,480,unlabeled,,,
54,images/front_20260621T051223949_000054.jpg,2026-06-21T05:12:23.949,/usb_cam/image_raw/front,1781986343.985912900,1.0,,,,,640,480,unlabeled,,,
55,images/front_20260621T051224465_000055.jpg,2026-06-21T05:12:24.465,/usb_cam/image_raw/front,1781986344.491452200,1.0,,,,,640,480,unlabeled,,,
56,images/front_20260621T051225699_000056.jpg,2026-06-21T05:12:25.699,/usb_cam/image_raw/front,1781986345.708169400,1.0,,,,,640,480,unlabeled,,,
57,images/front_20260621T051227187_000057.jpg,2026-06-21T05:12:27.187,/usb_cam/image_raw/front,1781986347.223178200,1.0,,,,,640,480,unlabeled,,,
58,images/front_20260621T051228638_000058.jpg,2026-06-21T05:12:28.638,/usb_cam/image_raw/front,1781986348.638165900,1.0,,,,,640,480,unlabeled,,,
59,images/front_20260621T051230066_000059.jpg,2026-06-21T05:12:30.066,/usb_cam/image_raw/front,1781986350.052812000,1.0,,,,,640,480,unlabeled,,,
60,images/front_20260621T051230326_000060.jpg,2026-06-21T05:12:30.326,/usb_cam/image_raw/front,1781986350.354854500,1.0,,,,,640,480,unlabeled,,,
61,images/front_20260621T051234075_000061.jpg,2026-06-21T05:12:34.075,/usb_cam/image_raw/front,1781986354.097263400,1.0,,,,,640,480,unlabeled,,,
62,images/front_20260621T051235193_000062.jpg,2026-06-21T05:12:35.193,/usb_cam/image_raw/front,1781986355.207238100,1.0,,,,,640,480,unlabeled,,,
63,images/front_20260621T051238040_000063.jpg,2026-06-21T05:12:38.040,/usb_cam/image_raw/front,1781986358.029436900,1.0,,,,,640,480,unlabeled,,,
64,images/front_20260621T051239142_000064.jpg,2026-06-21T05:12:39.142,/usb_cam/image_raw/front,1781986359.141761200,1.0,,,,,640,480,unlabeled,,,
65,images/front_20260621T051240775_000065.jpg,2026-06-21T05:12:40.775,/usb_cam/image_raw/front,1781986360.754136200,1.0,,,,,640,480,unlabeled,,,
66,images/front_20260621T051241609_000066.jpg,2026-06-21T05:12:41.609,/usb_cam/image_raw/front,1781986361.564132400,1.0,,,,,640,480,unlabeled,,,
67,images/front_20260621T051243367_000067.jpg,2026-06-21T05:12:43.367,/usb_cam/image_raw/front,1781986363.275456900,1.0,,,,,640,480,unlabeled,,,
68,images/front_20260621T051246010_000068.jpg,2026-06-21T05:12:46.010,/usb_cam/image_raw/front,1781986365.901344200,1.0,,,,,640,480,unlabeled,,,
69,images/front_20260621T051248612_000069.jpg,2026-06-21T05:12:48.612,/usb_cam/image_raw/front,1781986368.527666400,1.0,,,,,640,480,unlabeled,,,
70,images/front_20260621T051253978_000070.jpg,2026-06-21T05:12:53.978,/usb_cam/image_raw/front,1781986373.875205000,1.0,,,,,640,480,unlabeled,,,
71,images/front_20260621T051256110_000071.jpg,2026-06-21T05:12:56.110,/usb_cam/image_raw/front,1781986375.994985600,1.0,,,,,640,480,unlabeled,,,
72,images/front_20260621T051301210_000072.jpg,2026-06-21T05:13:01.210,/usb_cam/image_raw/front,1781986381.042923200,1.0,,,,,640,480,unlabeled,,,
73,images/front_20260621T051304142_000073.jpg,2026-06-21T05:13:04.142,/usb_cam/image_raw/front,1781986383.975503600,1.0,,,,,640,480,unlabeled,,,
74,images/front_20260621T051306983_000074.jpg,2026-06-21T05:13:06.983,/usb_cam/image_raw/front,1781986386.809440800,1.0,,,,,640,480,unlabeled,,,
75,images/front_20260621T051308883_000075.jpg,2026-06-21T05:13:08.883,/usb_cam/image_raw/front,1781986388.729870400,1.0,,,,,640,480,unlabeled,,,
76,images/front_20260621T051309037_000076.jpg,2026-06-21T05:13:09.037,/usb_cam/image_raw/front,1781986388.830432900,1.0,,,,,640,480,unlabeled,,,
77,images/front_20260621T051315448_000077.jpg,2026-06-21T05:13:15.448,/usb_cam/image_raw/front,1781986395.396636900,1.0,,,,,640,480,unlabeled,,,
78,images/front_20260621T051316594_000078.jpg,2026-06-21T05:13:16.594,/usb_cam/image_raw/front,1781986396.506762700,1.0,,,,,640,480,unlabeled,,,
79,images/front_20260621T051317738_000079.jpg,2026-06-21T05:13:17.738,/usb_cam/image_raw/front,1781986397.618867900,1.0,,,,,640,480,unlabeled,,,
80,images/front_20260621T051319479_000080.jpg,2026-06-21T05:13:19.479,/usb_cam/image_raw/front,1781986399.439143600,1.0,,,,,640,480,unlabeled,,,
81,images/front_20260621T051320554_000081.jpg,2026-06-21T05:13:20.554,/usb_cam/image_raw/front,1781986400.552205100,1.0,,,,,640,480,unlabeled,,,
82,images/front_20260621T051324877_000082.jpg,2026-06-21T05:13:24.877,/usb_cam/image_raw/front,1781986404.993351500,1.0,,,,,640,480,unlabeled,,,
83,images/front_20260621T051329204_000083.jpg,2026-06-21T05:13:29.204,/usb_cam/image_raw/front,1781986409.335681000,1.0,,,,,640,480,unlabeled,,,
84,images/front_20260621T051331337_000084.jpg,2026-06-21T05:13:31.337,/usb_cam/image_raw/front,1781986411.462344100,1.0,,,,,640,480,unlabeled,,,
85,images/front_20260621T051336870_000085.jpg,2026-06-21T05:13:36.870,/usb_cam/image_raw/front,1781986416.921886100,1.0,,,,,640,480,unlabeled,,,
86,images/front_20260621T051338272_000086.jpg,2026-06-21T05:13:38.272,/usb_cam/image_raw/front,1781986418.338174800,1.0,,,,,640,480,unlabeled,,,
87,images/front_20260621T051345982_000087.jpg,2026-06-21T05:13:45.982,/usb_cam/image_raw/front,1781986425.923184100,1.0,,,,,640,480,unlabeled,,,
88,images/front_20260621T051347922_000088.jpg,2026-06-21T05:13:47.922,/usb_cam/image_raw/front,1781986427.839242300,1.0,,,,,640,480,unlabeled,,,
89,images/front_20260621T051348409_000089.jpg,2026-06-21T05:13:48.409,/usb_cam/image_raw/front,1781986428.346324100,1.0,,,,,640,480,unlabeled,,,
90,images/front_20260621T051349417_000090.jpg,2026-06-21T05:13:49.417,/usb_cam/image_raw/front,1781986429.355582500,1.0,,,,,640,480,unlabeled,,,
91,images/front_20260621T051353188_000091.jpg,2026-06-21T05:13:53.188,/usb_cam/image_raw/front,1781986433.192854500,1.0,,,,,640,480,unlabeled,,,
92,images/front_20260621T051355104_000092.jpg,2026-06-21T05:13:55.104,/usb_cam/image_raw/front,1781986435.113258300,1.0,,,,,640,480,unlabeled,,,
93,images/front_20260621T051359222_000093.jpg,2026-06-21T05:13:59.222,/usb_cam/image_raw/front,1781986439.269218900,1.0,,,,,640,480,unlabeled,,,
